Rk,Player,Pos,Squad,Age,Min,90s,Gls/90,Ast/90,xA/90,npxG/90,KP,CrsPA,Prog
443,Junior Stanislas\Junior-Stanislas,MFFW,Bournemouth,28,1031,11.5,0.17,0.26,0.18,0.26,14,4,60
444,Dale Stephens\Dale-Stephens,MF,Brighton,29,2485,27.6,0.04,0.04,0.03,0.01,19,1,114
445,Jack Stephens\Jack-Stephens,DF,Southampton,24,1700,18.9,0.05,0,0.01,0.04,5,0,47
446,Raheem Sterling\Raheem-Sterling,FW,Manchester City,23,2771,30.8,0.55,0.29,0.3,0.45,59,5,94
447,John Stones\John-Stones,DF,Manchester City,24,1764,19.6,0,0,0.01,0.01,5,0,87
448,Daniel Sturridge\Daniel-Sturridge,FWMF,Liverpool,28,509,5.7,0.35,0.18,0.21,0.23,8,0,31
449,Denis Suárez\Denis-Suarez,FW,Arsenal,24,71,0.8,0,0,0,0,0,0,1
450,Isaac Success\Isaac-Success,FWMF,Watford,22,1052,11.7,0.09,0.09,0.17,0.22,19,5,30
451,Ki Sung-yueng\Ki-Sung-yueng,MF,Newcastle Utd,29,1302,14.5,0,0.07,0.07,0.01,14,1,55
452,Andrew Surman\Andrew-Surman,MF,Bournemouth,31,1439,16,0,0,0.05,0.02,10,1,78
453,Sam Surridge\Sam-Surridge,FWDF,Bournemouth,20,13,0.1,0,0,0.44,2.7,1,0,0
454,Alexander Sørloth\Alexander-Sorloth,FWMF,Crystal Palace,22,185,2.1,0,0,0.32,0.13,3,0,3
455,Matt Targett\Matt-Targett,DFMF,Southampton,22,1186,13.2,0.08,0.23,0.21,0.05,23,10,57
456,James Tarkowski\James-Tarkowski,DF,Burnley,25,3086,34.3,0.09,0.03,0.01,0.1,5,0,97
457,Charlie Taylor\Charlie-Taylor,DF,Burnley,24,3243,36,0,0.03,0.03,0,11,12,94
458,Youri Tielemans\Youri-Tielemans,MF,Leicester City,21,1086,12.1,0.25,0.33,0.21,0.15,19,3,63
459,James Tomkins\James-Tomkins,DF,Crystal Palace,29,2560,28.4,0.04,0.04,0.03,0.04,6,0,41
460,Lucas Torreira\Lucas-Torreira,MF,Arsenal,22,2382,26.5,0.08,0.08,0.05,0.06,16,1,121
461,Cenk Tosun\Cenk-Tosun,FW,Everton,27,1059,11.8,0.25,0.25,0.05,0.36,11,1,15
462,Andros Townsend\Andros-Townsend,FWMF,Crystal Palace,27,3009,33.4,0.18,0.12,0.16,0.15,63,20,97
463,Adama Traoré\Adama-Traore,FWDF,Wolves,22,902,10,0.1,0.1,0.18,0.1,16,11,26
464,Mark Travers\Mark-Travers,GK,Bournemouth,19,180,2,0,0,0,0,0,0,1
465,Kieran Trippier\Kieran-Trippier,DF,Tottenham,27,2276,25.3,0.04,0.12,0.18,0.02,48,27,166
466,Antonio Valencia\Antonio-Valencia,DF,Manchester Utd,32,466,5.2,0,0,0.11,0.01,7,4,23
467,Yan Valery\Yan-Valery,DFMF,Southampton,19,1712,19,0.11,0.05,0.01,0.03,5,3,36
468,Jamie Vardy\Jamie-Vardy,FW,Leicester City,31,2726,30.3,0.59,0.13,0.15,0.46,30,4,31
469,Jan Vertonghen\Jan-Vertonghen,DF,Tottenham,31,1911,21.2,0.05,0,0.01,0.09,4,3,83
470,Jannik Vestergaard\Jannik-Vestergaard,DF,Southampton,25,2027,22.5,0,0,0.02,0.02,5,0,56
471,Luciano Vietto\Luciano-Vietto,FWMF,Fulham,24,986,11,0.09,0.37,0.2,0.24,25,3,30
472,Rúben Vinagre\Ruben-Vinagre,DFMF,Wolves,19,710,7.9,0,0,0.13,0.03,6,6,26
473,Sam Vokes\Sam-Vokes,FWMF,Burnley,28,915,10.2,0.3,0,0.04,0.23,6,0,23
474,Michel Vorm\Michel-Vorm,GK,Tottenham,34,180,2,0,0,0,0,0,0,0
475,Matěj Vydra\Matej-Vydra,MFFW,Burnley,26,318,3.5,0.28,0.28,0.07,0.38,1,0,3
476,Theo Walcott\Theo-Walcott,FWMF,Everton,29,2119,23.5,0.21,0.08,0.11,0.25,24,10,51
477,Kyle Walker\Kyle-Walker,DF,Manchester City,28,2779,30.9,0.03,0.03,0.05,0.03,23,5,155
478,Kyle Walker-Peters\Kyle-Walker-Peters,DF,Tottenham,21,376,4.2,0,0.72,0.17,0.09,8,2,12
479,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,Crystal Palace,20,3134,34.8,0,0.09,0.05,0.01,14,10,119
480,Victor Wanyama\Victor-Wanyama,MF,Tottenham,27,516,5.7,0.17,0,0.01,0.17,2,0,14
481,Danny Ward\Danny-Ward,FW,Cardiff City,26,445,4.9,0.2,0,0.05,0.13,6,0,9
482,Joel Ward\Joel-Ward,DF,Crystal Palace,28,552,6.1,0.16,0,0.03,0.11,3,1,17
483,Stephen Ward\Stephen-Ward,DF,Burnley,32,228,2.5,0,0,0.02,0.04,1,1,8
484,James Ward-Prowse\James-Ward-Prowse,MFDF,Southampton,23,1945,21.6,0.32,0,0.15,0.14,44,5,44
485,Danny Welbeck\Danny-Welbeck,FWMF,Arsenal,27,153,1.7,0.59,0.59,0.53,0.52,7,0,10
486,Ashley Westwood\Ashley-Westwood,MF,Burnley,28,2824,31.4,0.06,0.22,0.15,0.06,42,9,161
487,Connor Wickham\Connor-Wickham,FW,Crystal Palace,25,67,0.7,0,1.34,0.45,0.86,1,0,1
488,Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,27,2725,30.3,0.1,0,0.04,0.09,21,2,123
489,Danny Williams\Danny-Williams,MF,Huddersfield,29,96,1.1,0,0,0.02,0.02,1,0,2
490,Willian\Willian,FW,Chelsea,29,2097,23.3,0.13,0.26,0.25,0.2,83,12,121
491,Joe Willock\Joe-Willock,MF,Arsenal,18,64,0.7,0,0,0,0.2,0,0,0
492,Ben Wilmot\Ben-Wilmot,MFDF,Watford,18,28,0.3,0,0,0,0,0,0,1
493,Jack Wilshere\Jack-Wilshere,MF,West Ham,26,392,4.4,0,0.23,0.09,0.07,6,0,11
494,Callum Wilson\Callum-Wilson,FW,Bournemouth,26,2528,28.1,0.5,0.32,0.17,0.47,29,3,42
495,Harry Winks\Harry-Winks,MF,Tottenham,22,1597,17.7,0.06,0,0.01,0.04,7,0,82
496,Chris Wood\Chris-Wood,FW,Burnley,26,2588,28.8,0.35,0.07,0.07,0.3,16,2,28
497,Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,25,2498,27.8,0.14,0.07,0.12,0.05,38,11,209
498,Andriy Yarmolenko\Andriy-Yarmolenko,MFFW,West Ham,28,459,5.1,0.39,0,0.04,0.22,4,2,18
499,DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,25,2473,27.5,0.04,0.07,0.1,0.04,30,13,72
500,Maya Yoshida\Maya-Yoshida,DF,Southampton,29,1518,16.9,0,0.06,0.03,0.11,6,0,34
501,Ashley Young\Ashley-Young,DF,Manchester Utd,33,2569,28.5,0.07,0.07,0.12,0.01,40,12,134
502,Pablo Zabaleta\Pablo-Zabaleta,DF,West Ham,33,2092,23.2,0,0.04,0.04,0.01,7,5,80
503,Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,25,3036,33.7,0.3,0.15,0.16,0.2,53,9,129
504,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,22,1517,16.9,0,0,0.02,0.04,6,1,73
505,Davide Zappacosta\Davide-Zappacosta,DF,Chelsea,26,128,1.4,0,0,0.1,0.04,1,1,2
506,Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,21,1151,12.8,0,0.23,0.12,0.01,12,5,97
507,Kenneth Zohore\Kenneth-Zohore,FW,Cardiff City,24,753,8.4,0.12,0.12,0.13,0.21,13,2,7
508,Kurt Zouma\Kurt-Zouma,DF,Everton,23,2612,29,0.07,0.07,0.01,0.05,4,0,79
