Rk,Player,Pos,Squad,Age,Min,90s,Gls/90,Ast/90,xA/90,npxG/90,KP,CrsPA,Prog
263,Aaron Lennon\Aaron-Lennon,MFFW,Burnley,31,1215,13.5,0.07,0.07,0.04,0.05,7,2,20
264,Bernd Leno\Bernd-Leno,GK,Arsenal,26,2836,31.5,0,0,0,0,0,0,2
265,Jefferson Lerma\Jefferson-Lerma,MF,Bournemouth,23,2506,27.8,0.07,0,0.03,0.04,14,0,111
266,Stephan Lichtsteiner\Stephan-Lichtsteiner,DF,Arsenal,34,938,10.4,0,0,0,0,2,1,27
267,Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,24,2601,28.9,0.03,0.03,0.03,0.02,4,0,67
268,Jesse Lingard\Jesse-Lingard,FWMF,Manchester Utd,25,1663,18.5,0.22,0.11,0.11,0.22,17,1,46
269,Fernando Llorente\Fernando-Llorente,FW,Tottenham,33,694,7.7,0.13,0.52,0.16,0.4,11,0,6
270,Hugo Lloris\Hugo-Lloris,GK,Tottenham,31,2970,33,0,0,0,0,1,0,0
271,Jürgen Locadia\Jurgen-Locadia,FWMF,Brighton,24,1236,13.7,0.15,0,0.08,0.22,13,3,20
272,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Chelsea,22,998,11.1,0.54,0.18,0.14,0.26,17,0,49
273,Kevin Long\Kevin-Long,DF,Burnley,27,514,5.7,0,0.18,0,0.01,0,0,12
274,Shane Long\Shane-Long,FWMF,Southampton,31,1272,14.1,0.35,0.07,0.07,0.34,13,2,20
275,Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,20,687,7.6,0.13,0,0.09,0.06,5,1,27
276,Ademola Lookman\Ademola-Lookman,FWMF,Everton,20,618,6.9,0,0.29,0.19,0.19,9,4,23
277,Jonas Lössl\Jonas-Lossl,GK,Huddersfield,29,2778,30.9,0,0.03,0.02,0,3,0,0
278,Dejan Lovren\Dejan-Lovren,DF,Liverpool,29,986,11,0.09,0,0.02,0.07,1,1,27
279,Chris Löwe\Chris-Lowe,DFMF,Huddersfield,29,2057,22.9,0,0.09,0.07,0.02,18,18,56
280,Matthew Lowton\Matthew-Lowton,DF,Burnley,29,1750,19.4,0,0,0.03,0.03,7,6,74
281,David Luiz\David-Luiz,DF,Chelsea,31,3238,36,0.08,0.06,0.05,0.05,14,1,205
282,Romelu Lukaku\Romelu-Lukaku,FW,Manchester Utd,25,2136,23.7,0.51,0,0.1,0.48,24,5,42
283,James Maddison\James-Maddison,MFFW,Leicester City,21,2831,31.5,0.22,0.22,0.23,0.17,95,4,147
284,Gary Madine\Gary-Madine,FWMF,Cardiff City,27,37,0.4,0,0,0,0,0,0,3
